	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	E211	E212	E213	E214	E215	E216	E217	E218	E219	E220	E221	E222	E223	E224	E225	E226	E227	E228	E229	E230	E421	E422	E423	E424	E425	E426	E427	E428	E429	E430	N501	N502	N503	N504	N505	N506	N507	W211	W212	W213	W214	W215	W216	W217	W218	W219	W220	W221	W222	W223	W224	W225	W226	W227	W228	W229	W230	W421	W422	W423	W424	W425	W426	W427	W428	W429	W430
87ace68671b521fa779b33d5fcf2b782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	760	193	27	0	0	0	0	12	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
864267f12bedace19272af56224498c7	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	3	0	0	6	0	0	0	0	0	7	0	2	0	0	0	980	0	0	0	0	0	0	0	0	0	0	2	0	0
e5a535487e3bf166fc9555c26a67144b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	2	5	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	809	133	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	17	0	0	0	0	0	0	0
e8386d3a307c208c4b9f0a756259cd6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0
a82c0d1810080126d2c165c9fc9a95fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	0	0	0	0	0	0	0	0	0	0	0	0	0
195a54476a1802d75e0e773601fe964b	0	0	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	83	43	444	0	0	0	0	15	0	0	11	0	0	0	0	40	0	22	0	0	20	0	12	96	0	0	0	33	0	0	0	0	0	0	0	0	0
1935b9726fc8e67ef0b72ec5208097ce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	21	0	0	0	0
f8ec009ea7d958c2429fc4d8931f6c25	0	231	36	12	0	0	0	0	0	111	0	0	0	51	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	22	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	150	141	27	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0
7885e9f02d4e936b294d828c2894a36a	0	612	0	77	0	67	0	0	0	35	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0
6ea8228cb56f8a62f932f0e613bca40e	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	105	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d34e514b2d0d3a14fbfa27a9717f5ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc6622c636a5210293fb2873fc4761d9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	34	19	23	0	0	6	0	40	0	0	0	0	59	42	0	0	0	0	0	0	0	0	0	0	9	8	3	3	0	0	0	0	462	0	0	0	19	0	23	2	0	6	0	15	0	0
7ff346973a282aa55de296afdb5d74af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	38	0	12	0	64	9	0	0	0	0	0	0	0	13	21	0	46	470	0	3	0	0	0	24	0	0	0	0	10	0	0	0	0	0	0	0	9	0	0	0	0	13	0	9	0	0
