	Id	strain	coCulture	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO_term
s1641	Ps_00923	Ps	coEaPa	1654.06652977374	-2.27070924771918	0.304161886289367	-7.47	8.30E-14	3.26E-12	ND
s1642	Ps_01741	Ps	coEaPa	677.421325766974	-2.30295011906581	0.381096878615311	-6.04	1.51E-09	2.30E-08	ND
s1644	Ps_00473	Ps	coEaPa	2337.20115540997	-2.3338877447077	0.37867507477051	-6.16	7.12E-10	1.23E-08	ND
s1645	Ps_02686	Ps	coEaPa	1843.26576769071	-2.33751353197243	0.535194507966739	-4.36759626112924	1.26E-05	6.36E-05	ND
s1651	Ps_05676	Ps	coEaPa	941.850710760902	-2.38435577274109	0.249838187438818	-9.54360018852198	1.38E-21	2.50E-19	ND
s1652	Ps_00634	Ps	coEaPa	1278.89068503342	-2.38661634651648	0.274717904786307	-8.69	3.70E-18	3.26E-16	ND
s1653	Ps_01924	Ps	coEaPa	2226.85881357223	-2.38729673098803	0.403299731101894	-5.92	3.23E-09	4.40E-08	ND
s1654	Ps_02756	Ps	coEaPa	3427.47786386721	-2.39773876822836	0.644907199017124	-3.71795937753937	0.000200838555151	0.000713628305513	ND
s1655	Ps_02685	Ps	coEaPa	7011.9074032135	-2.40680782966267	0.415257806263741	-5.79593638784974	6.79E-09	8.69E-08	ND
s1656	Ps_01877	Ps	coEaPa	1399.03438734482	-2.41511452504442	0.419524127914819	-5.76	8.57E-09	1.07E-07	ND
s1657	Ps_00432	Ps	coEaPa	4173.8936561943	-2.43986867984153	0.502834203347073	-4.85	1.22E-06	8.36E-06	ND
s1658	Ps_01524	Ps	coEaPa	3653.80343254252	-2.4426951809956	0.262236365150458	-9.31	1.22E-20	1.77E-18	ND
s1659	Ps_05604	Ps	coEaPa	790.636935915009	-2.44696194324632	0.246034811875839	-9.94559235170823	2.64E-23	6.96E-21	ND
s1660	Ps_02563	Ps	coEaPa	20049.7112600684	-2.45325140960471	0.274186419059839	-8.95	3.64E-19	4.06E-17	ND
s1662	Ps_02566	Ps	coEaPa	2908.51503597002	-2.47555619732889	0.489077540188027	-5.06	4.16E-07	3.23E-06	ND
s1663	Ps_05588	Ps	coEaPa	4827.69698208455	-2.47738036895756	0.450555417291276	-5.4985031227712	3.83E-08	3.96E-07	ND
s1664	Ps_02561	Ps	coEaPa	1597.97459795374	-2.48028361570565	0.373063430749212	-6.65	2.96E-11	7.13E-10	ND
s1666	Ps_05246	Ps	coEaPa	5961.77005414996	-2.50609748102713	0.436824034129811	-5.73708698519641	9.63E-09	1.18E-07	ND
s1667	Ps_00661	Ps	coEaPa	615.715429022162	-2.50867313189058	0.397757049913196	-6.31	2.84E-10	5.29E-09	ND
s1671	Ps_01933	Ps	coEaPa	219.939623227915	-2.53416129483593	0.282369654903404	-8.97	2.84E-19	3.44E-17	ND
s1672	Ps_04254	Ps	coEaPa	172.963422154418	-2.53857076129348	0.298271721615142	-8.51093341181362	1.73E-17	1.32E-15	ND
s1673	Ps_01742	Ps	coEaPa	336.722840983148	-2.56766840441582	0.38529564981255	-6.66	2.66E-11	6.60E-10	ND
s1674	Ps_05586	Ps	coEaPa	538.085502167419	-2.57248190794158	0.426645238066514	-6.02955729589213	1.64E-09	2.45E-08	ND
s1675	Ps_00630	Ps	coEaPa	1794.82239368747	-2.59247485724667	0.394229337671963	-6.58	4.83E-11	1.11E-09	ND
s1680	Ps_00757	Ps	coEaPa	599.446037769796	-2.68303095798453	0.375880365624811	-7.14	9.47E-13	3.20E-11	ND
s1685	Ps_04134	Ps	coEaPa	7016.31654196654	-2.82062220412049	0.436151069249244	-6.46707621048754	9.99E-11	2.04E-09	ND
s1686	Ps_00635	Ps	coEaPa	2993.93935383017	-2.9116832479468	0.351316607579885	-8.29	1.15E-16	7.60E-15	ND
s1687	Ps_01610	Ps	coEaPa	2774.82006020175	-2.91685105293617	0.343022730441244	-8.5	1.84E-17	1.37E-15	ND
s1688	Ps_00758	Ps	coEaPa	334.071295405638	-2.9171189582867	0.302564637010224	-9.64	5.35E-22	1.11E-19	ND
s1689	Ps_02755	Ps	coEaPa	4034.36262369351	-2.95311633836169	0.492203434030827	-5.99978816518523	1.98E-09	2.88E-08	ND
s1690	Ps_05261	Ps	coEaPa	6741.70174234857	-2.97226417147733	0.379864098155628	-7.8245461624531	5.09E-15	2.35E-13	ND
s1691	Ps_05575	Ps	coEaPa	87.6071339543478	-3.02680570158536	0.428386816418121	-7.06559022262509	1.60E-12	5.10E-11	ND
s1692	Ps_01530	Ps	coEaPa	215.291818876261	-3.05219834156819	0.537690038660029	-5.68	1.37E-08	1.61E-07	ND
s1693	Ps_01934	Ps	coEaPa	2360.59674996901	-3.05405802235566	0.265395140676134	-11.5	1.21E-30	5.85E-28	ND
s1694	Ps_01751	Ps	coEaPa	3376.06315936044	-3.05910848083563	0.372427928337767	-8.21	2.14E-16	1.32E-14	ND
s1696	Ps_00633	Ps	coEaPa	5914.39053731402	-3.18552362768979	0.383048081651224	-8.32	9.08E-17	6.13E-15	ND
s1697	Ps_01930	Ps	coEaPa	2982.48950534826	-3.203173989735	0.432436321706636	-7.40727323064233	1.29E-13	4.80E-12	ND
s1698	Ps_05585	Ps	coEaPa	1177.58693356012	-3.20543129152076	0.404349401805455	-7.92737982845586	2.24E-15	1.16E-13	ND
s1699	Ps_02536	Ps	coEaPa	2858.69129296365	-3.28297933101365	0.443866084458044	-7.4	1.40E-13	5.14E-12	ND
s1700	Ps_01928	Ps	coEaPa	9985.81496763803	-3.31094811846966	0.477930683736499	-6.92767430746317	4.28E-12	1.28E-10	ND
